danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.401,0.888,-3.793,0.0401,0.000367,0,0.12,0.365,146.781,224880,58
0.389,0.612,-6.392,0.0355,0.00154,1.03e-05,0.116,0.16,138.351,310600,52
0.71,0.304,-10.756,0.0332,0.702,7.92e-06,0.0903,0.312,98.037,321053,56
0.466,0.965,-3.115,0.0536,7.28e-06,0.00063,0.213,0.574,141.59,221173,42
0.533,0.781,-5.014,0.0322,0.00167,1.08e-05,0.17,0.417,122.994,277973,43
0.34,0.331,-17.857,0.0325,0.842,0.833,0.112,0.666,141.663,152213,40
0.603,0.485,-7.305,0.0235,0.112,0.00463,0.138,0.35,94.045,227813,41
0.413,0.553,-6.816,0.0314,0.00606,0,0.0632,0.383,164.931,275707,45
0.409,0.152,-14.579,0.0391,0.819,0.0222,0.1,0.112,105.5,293453,54
0.424,0.285,-11.693,0.0387,0.591,0.00543,0.99,0.216,123.579,408080,34
0.227,0.446,-8.961,0.0304,0.0256,6.33e-05,0.844,0.174,80.709,356760,34
0.56,0.584,-5.516,0.025,0.116,0.00122,0.96,0.28,98.917,318693,37
0.338,0.723,-3.846,0.0334,0.00921,0.000202,0.448,0.299,141.113,199693,36
0.312,0.817,-6.16,0.0604,0.0137,0.000465,0.959,0.184,134.428,291080,49
0.191,0.869,-4.337,0.0371,0.000191,0.021,0.351,0.606,174.917,274653,35
0.204,0.565,-5.827,0.0315,0.0694,0.000265,0.981,0.18,81.654,295267,33
0.382,0.483,-7.257,0.029,0.584,0,0.985,0.344,107.218,181827,37
0.401,0.932,-3.594,0.0402,0.000273,0.0963,0.981,0.499,142.166,206213,35
0.564,0.513,-8.659,0.0276,0.0246,0.00508,0.86,0.202,101.308,240960,39
0.362,0.434,-6.699,0.0281,0.0318,0.0321,0.458,0.0791,138.588,351453,34
0.27,0.668,-7.409,0.0364,0.0102,0.000512,0.994,0.183,112.142,325333,49
0.326,0.268,-19.809,0.0986,0.79,9.14e-05,0.472,0.119,183.582,241733,32
0.394,0.891,-7.188,0.0758,0.111,0,0.938,0.408,129.997,302627,45
0.266,0.582,-8.243,0.049,0.0295,0.00042,0.984,0.315,138.477,397187,41
0.365,0.927,-7.049,0.079,5.56e-05,0.00361,0.119,0.0393,138.607,230093,48
0.254,0.959,-3.447,0.0672,1.26e-05,7.31e-06,0.483,0.525,186.438,196573,57
0.366,0.94,-5.119,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255627,75
0.462,0.913,-4.298,0.074,0.000189,0.00142,0.0671,0.72,145.522,252107,57
0.177,0.941,-5.104,0.112,1.26e-05,0.00302,0.314,0.313,153.134,117000,40
0.504,0.957,-4.398,0.0967,0.000441,0,0.245,0.436,148.958,199427,40
0.413,0.988,-4.215,0.0864,1.3e-05,0.00589,0.0834,0.325,155.286,278600,39
0.405,0.806,-4.521,0.0324,7.52e-06,0.0461,0.259,0.364,110.356,288640,44
0.255,0.878,-4.183,0.082,0.000293,3.07e-05,0.206,0.161,193.111,238333,38
0.433,0.921,-4.256,0.0493,0.000123,0.00116,0.45,0.19,128.127,352000,40
0.713,0.296,-12.928,0.0303,0.585,0.784,0.0911,0.183,110.696,313093,39
0.64,0.472,-8.89,0.0261,0.398,1.56e-06,0.116,0.222,96.601,302907,40
0.615,0.508,-8.733,0.0232,0.234,0.000195,0.117,0.405,96.584,209600,41
0.402,0.436,-10.153,0.0292,0.391,0.00148,0.277,0.194,114.622,265760,39
0.713,0.295,-12.738,0.0311,0.694,0.0145,0.099,0.0756,95.828,193200,42
0.423,0.451,-10.3,0.0261,0.139,0.000945,0.116,0.326,178.94,316173,38
0.521,0.522,-8.853,0.0279,0.258,0.00959,0.12,0.307,134.818,271827,42
0.643,0.363,-13.126,0.0274,0.812,0.000264,0.171,0.258,125.796,229107,50
0.613,0.887,-5.989,0.0263,0.0643,2.92e-05,0.168,0.76,132.834,200627,43
0.542,0.272,-12.909,0.0349,0.94,0.00669,0.11,0.203,125.465,293173,41
0.577,0.604,-5.703,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440,73
0.417,0.935,-5.548,0.111,1.3e-05,0.0059,0.481,0.198,143.802,268307,51
0.348,0.917,-3.846,0.0774,0.000542,0.00353,0.137,0.296,163.824,298000,41
0.376,0.908,-3.793,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,265560,70
0.502,0.792,-4.713,0.039,0.00136,5.21e-06,0.134,0.319,113.28,273120,39
0.736,0.318,-8.27,0.0262,0.723,0.000138,0.106,0.414,106.222,311280,42
0.53,0.945,-3.019,0.0494,2.38e-05,4.26e-05,0.399,0.137,131.455,306520,38
0.487,0.757,-4.278,0.0409,0.000627,0,0.277,0.259,80.935,277147,38
0.393,0.985,-2.594,0.114,0.000193,0,0.153,0.311,157.952,270187,38
0.542,0.884,-3.019,0.0474,0.00021,1.48e-06,0.0992,0.33,126.51,297880,36
0.502,0.858,-5.8,0.0463,0.0011,0.0844,0.0646,0.217,89.031,467627,44
0.478,0.988,-4.323,0.0528,0.000266,0.019,0.0758,0.792,155.946,235453,35
0.682,0.737,-5.206,0.0276,0.0165,0.00236,0.11,0.776,96.993,310467,33
0.583,0.91,-4.413,0.0336,0.00118,0.073,0.292,0.859,127.616,177800,31
0.586,0.98,-5.416,0.0347,0.00166,0.157,0.0669,0.937,121.55,219653,32
0.326,0.853,-5.514,0.071,0.00225,0.000794,0.984,0.554,125.445,211707,28
0.21,0.987,-3.256,0.155,0.000812,0.00223,0.973,0.441,174.39,242493,30
0.502,0.934,-5.145,0.05,0.00203,0.00102,0.234,0.67,134.898,256440,54
0.421,0.938,-4.212,0.0522,5.18e-05,0.00291,0.124,0.427,156.794,200800,61
0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,76
0.543,0.958,-4.215,0.0685,0.00175,0.00286,0.263,0.532,111.85,222200,43
0.468,0.924,-3.937,0.041,0.00112,0.0149,0.337,0.593,152.694,227560,54
0.586,0.858,-5.254,0.0313,0.00481,0.469,0.238,0.278,122.996,349680,54
0.492,0.97,-3.877,0.0616,3.71e-05,0,0.155,0.487,118.211,232720,40
0.415,0.865,-2.789,0.0379,0.00551,0.103,0.274,0.465,176.864,276213,51
0.59,0.891,-4.233,0.0422,0.00187,0.14,0.075,0.478,129.835,277413,41
0.57,0.836,-4.58,0.0258,0.00272,0.645,0.329,0.303,108.866,254773,50
0.45,0.804,-4.076,0.034,0.000402,5.2e-05,0.366,0.224,97.107,243280,41
0.491,0.263,-11.793,0.0305,0.52,0.182,0.257,0.195,119.231,83800,51
0.401,0.953,-4.276,0.0752,1.83e-05,2.56e-05,0.149,0.555,174.217,231480,69
0.473,0.741,-5.299,0.0305,7.64e-05,0.00114,0.565,0.487,84.974,248267,55
0.556,0.91,-3.92,0.0387,0.00015,0.356,0.0984,0.578,126.252,213560,46
0.441,0.981,-3.545,0.0714,4.39e-05,0.000438,0.316,0.389,128.234,150653,48
0.262,0.885,-5.288,0.0831,0.000359,0.00426,0.254,0.178,166.645,135573,47
0.398,0.927,-4.212,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,260027,75
0.308,0.873,-6.47,0.067,0.0053,2.06e-05,0.107,0.62,170.42,146653,45
0.462,0.967,-4.665,0.0553,3.95e-05,0.726,0.377,0.61,144.098,156293,45
0.267,0.316,-8.272,0.0372,0.00825,0.151,0.126,0.227,76.066,289347,49
0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,83
0.325,0.571,-10.701,0.0259,0.74,0.557,0.0802,0.352,108.651,303813,56
0.324,0.835,-6.537,0.0501,0.000965,0.118,0.071,0.472,139.256,340200,45
0.263,0.99,-4.179,0.142,8.35e-06,0.8,0.384,0.154,158.281,204027,42
0.261,0.964,-6.654,0.0638,0.00141,2.87e-05,0.183,0.326,162.902,233360,60
0.306,0.985,-6.687,0.0822,0.00254,0.626,0.13,0.255,133.963,232533,60
0.579,0.708,-10.419,0.0374,0.442,0,0.11,0.846,130.97,132840,64
0.226,0.978,-7.27,0.107,0.00424,1.47e-06,0.109,0.137,131.586,245667,53
0.185,0.969,-7.413,0.0612,0.000141,0.0321,0.367,0.437,191.822,241227,50
0.39,0.941,-7.151,0.0783,0.000893,2.82e-05,0.0739,0.0815,113.389,269267,42
0.235,0.993,-7.623,0.0779,0.00674,0.355,0.312,0.252,174.708,165400,40
0.436,0.919,-6.82,0.0407,9.51e-05,5.24e-06,0.0783,0.144,125.216,181800,39
0.366,0.542,-9.655,0.0344,0.0323,0.00262,0.237,0.513,124.631,209240,42
0.322,0.868,-8.335,0.0557,3.55e-05,0.899,0.209,0.183,101.545,253493,39
0.178,0.967,-6.9,0.077,0.001,0.000297,0.365,0.47,190.586,133507,40
0.192,0.977,-9.027,0.0932,0.0016,0.867,0.27,0.108,120.652,349893,41
0.651,0.789,-8.508,0.0674,0.013,0.142,0.366,0.787,104.064,218703,31
0.585,0.882,-6.25,0.0319,0.0182,0.000466,0.353,0.537,92.492,270997,40
0.288,0.982,-5.044,0.115,2.45e-05,0.0969,0.261,0.548,176.228,152604,35
0.137,0.98,-7.366,0.0623,1.34e-05,0.0988,0.09,0.123,169.394,253520,27
0.219,0.995,-7.12,0.0955,0.000373,0.92,0.215,0.0773,142.328,183787,23
0.339,0.179,-11.813,0.0384,0.0836,0.751,0.114,0.0391,102.171,294987,29
0.363,0.907,-6.194,0.0821,0.00023,0.0848,0.334,0.735,79.728,257133,22
0.585,0.382,-11.252,0.0298,0.00503,0.0362,0.0845,0.139,113.058,322373,19
0.299,0.891,-7.288,0.0702,0.000191,0,0.304,0.339,131.364,262760,19
0.609,0.422,-8.402,0.028,0.352,0.919,0.219,0.197,142.788,191453,25
0.416,0.656,-5.815,0.0356,0.28,1.54e-06,0.0927,0.714,170.138,147720,26
0.399,0.668,-3.962,0.0513,3.35e-05,0.939,0.0903,0.532,171.607,212973,21
0.149,0.971,-5.518,0.116,1.39e-05,0.0069,0.968,0.111,137.231,248160,23
0.639,0.608,-6.162,0.0461,0.0272,0.893,0.109,0.321,79.83,273027,28
0.574,0.605,-8.368,0.0271,0.0418,0.262,0.123,0.464,97.405,248000,37
0.307,0.976,-4.56,0.0861,8.75e-06,0.172,0.411,0.516,175.746,173933,23
0.509,0.917,-4.664,0.0511,0.000747,0.407,0.0824,0.391,145.057,238213,37
0.542,0.822,-3.917,0.0326,8.86e-05,0.000118,0.195,0.964,126.128,209053,22
0.598,0.433,-9.344,0.028,0.589,0.000422,0.112,0.132,98.78,283400,25
0.218,0.779,-5.695,0.0357,0.17,0.714,0.0687,0.192,63.83,282813,23
0.508,0.964,-3.795,0.0963,0.00271,0,0.282,0.413,144.808,190693,22
0.1,0.984,-4.428,0.283,0.000367,0.00114,0.961,0.0454,171.563,220440,23
0.384,0.986,-3.492,0.134,0.00881,1.17e-06,0.606,0.414,142.846,242893,23
0.412,0.96,-5.092,0.136,0.0247,2.46e-05,0.654,0.306,145.561,329200,20
0.199,0.989,-2.418,0.141,0.000955,0.00458,0.972,0.45,173.318,243173,21
