danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.665,0.264,-9.379,0.0326,0.85,0.0836,0.0696,0.285,176.911,345773,40
0.618,0.364,-10.161,0.0303,0.629,0.00487,0.0942,0.279,97.976,227973,31
0.601,0.415,-6.548,0.0304,0.325,1.9e-06,0.139,0.286,121.02,192627,31
0.394,0.654,-3.529,0.0302,0.307,0.000718,0.0986,0.277,111.79,452840,34
0.528,0.729,-6.321,0.0245,0.00952,3.64e-06,0.137,0.269,92.995,198437,20
0.506,0.0952,-13.51,0.0385,0.91,3.55e-06,0.111,0.162,111.163,265687,41
0.221,0.386,-9.233,0.0309,0.413,0.000282,0.172,0.0451,75.801,258967,13
0.417,0.686,-6.484,0.0373,0.0955,0.0287,0.0989,0.625,204.113,189293,66
0.474,0.989,-4.053,0.0526,0.0191,7.69e-05,0.142,0.751,160.51,255756,20
0.409,0.745,-7.694,0.0315,0.0654,0.0765,0.166,0.134,105.693,250896,21
0.28,0.427,-6.709,0.0299,0.516,5.29e-05,0.144,0.232,92.269,256565,17
0.387,0.602,-8.422,0.038,0.117,0.00622,0.986,0.481,76.683,292133,16
0.459,0.871,-5.611,0.0357,0.00962,0.806,0.388,0.662,95.421,202667,18
0.519,0.766,-6.986,0.0278,0.0374,0.0148,0.715,0.518,92.518,210147,17
0.336,0.788,-7.223,0.0365,0.0399,0.073,0.692,0.431,81.595,150027,16
0.504,0.734,-7.859,0.0434,0.221,0.0518,0.67,0.586,104.326,215400,17
0.176,0.792,-7.729,0.0465,0.0427,0.529,0.881,0.477,199.185,259693,16
0.401,0.761,-8.095,0.0552,0.177,0.00137,0.864,0.517,83.978,167733,16
0.414,0.453,-9.401,0.0432,0.474,4.53e-05,0.718,0.218,71.938,264707,15
0.336,0.588,-8.741,0.0314,0.268,0.192,0.749,0.25,75.382,303267,15
0.42,0.619,-8.663,0.0352,0.293,0.0196,0.935,0.246,112.581,274880,14
0.324,0.183,-16.14,0.0378,0.618,3.23e-05,0.715,0.213,75.655,271480,19
0.431,0.761,-8.979,0.0402,0.433,0.28,0.948,0.395,110.25,232800,17
0.4,0.875,-7.409,0.0611,0.0188,0.000881,0.859,0.576,99.507,183227,17
0.487,0.638,-6.297,0.0308,0.13,0.105,0.957,0.262,123.871,210427,15
